class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,angle,confidence,File Name
complete,0.08179012345679013,0.18852880658436216,0.054398148148148154,0.0633198118823608,0.0,0.20473251028806586,20240829104555.txt
complete,0.23919753086419754,0.18544238683127573,0.05748456790123457,0.06810564090038754,0.0,0.2037037037037037,20240829104555.txt
complete,0.3557098765432099,0.18698559670781895,0.04899691358024694,0.060502142994188206,0.0,0.20473251028806586,20240829104555.txt
complete,0.4645061728395062,0.18569958847736626,0.05285744139137056,0.06199906898143594,3.1318606007542713,0.20267489711934156,20240829104555.txt
blurry.complete,0.6095679012345679,0.18441358024691357,0.050156958883884446,0.06056484399132845,3.131296853633885,0.2021604938271605,20240829104555.txt
complete,0.748070987654321,0.18441358024691357,0.053243225722807076,0.06427417160069605,3.1318958596130013,0.20318930041152264,20240829104555.txt
complete,0.8838734567901234,0.18132716049382716,0.0525321375972187,0.06314444463754564,3.0924311370014443,0.2021604938271605,20240829104555.txt
complete,0.9868827160493827,0.17618312757201646,0.045597289304503394,0.05680838556493217,3.0851554752780896,0.19650205761316872,20240829104555.txt
incomplete,0.022376543209876542,0.3765432098765432,0.021629419795914234,0.053609116046060896,3.094009550312811,0.4022633744855967,20240829104555.txt
complete,0.16145833333333331,0.37474279835390945,0.04752335493075031,0.061741789527560695,3.093026743453106,0.39711934156378603,20240829104555.txt
complete,0.2841435185185185,0.3706275720164609,0.05330283053739211,0.06759475058565405,3.0933210032561416,0.39454732510288065,20240829104555.txt
complete,0.44232253086419754,0.3706275720164609,0.05247165732664594,0.0645111002984752,0.00983991478426162,0.3888888888888889,20240829104555.txt
complete,0.5669367283950617,0.36882716049382713,0.049393431622048574,0.06392806285440708,3.120680348420948,0.3904320987654321,20240829104555.txt
complete,0.6840277777777778,0.371656378600823,0.04749829225510125,0.06396116784635142,0.043333289841090826,0.3904320987654321,20240829104555.txt
complete,0.8238811728395061,0.37551440329218105,0.054051524101557336,0.07007706533878222,3.1036507231157615,0.4002057613168724,20240829104555.txt
complete,0.980516975308642,0.37294238683127573,0.05135296722528007,0.0686299591776046,3.1015138763857646,0.39814814814814814,20240829104555.txt
blurry.incomplete,0.026234567901234566,0.7222222222222222,0.025894790423688016,0.043548613777810184,3.0918872977886953,0.7412551440329218,20240829104555.txt
blurry.complete,0.11458333333333333,0.7474279835390947,0.04287347772520781,0.05282739612623452,3.087593091643675,0.7659465020576132,20240829104555.txt
blurry.complete,0.24074074074074076,0.7476851851851851,0.04015312293598053,0.05062170114387565,3.0967527748774906,0.7654320987654321,20240829104555.txt
blurry.complete,0.3341049382716049,0.713477366255144,0.04402958647611863,0.05555793700123707,3.0948431149988798,0.7330246913580247,20240829104555.txt
blurry.complete,0.41145833333333337,0.7433127572016461,0.03976760827177526,0.05105306903621196,0.045527727266311185,0.757201646090535,20240829104555.txt
blurry.complete,0.5343364197530864,0.7404835390946503,0.03688154122538463,0.04576183988852382,3.036720785404685,0.7587448559670782,20240829104555.txt
blurry.complete,0.6512345679012346,0.7175925925925926,0.050540123456790154,0.06389597603713729,0.0,0.7371399176954733,20240829104555.txt
blurry.complete,0.7650462962962963,0.7533436213991769,0.04513888888888884,0.058063948072658175,0.0,0.7716049382716049,20240829104555.txt
blurry.complete,0.8599537037037037,0.7232510288065843,0.04861111111111116,0.057581583971622385,0.0,0.7386831275720165,20240829104555.txt
blurry.complete,0.9546682098765432,0.7530864197530864,0.0459220196250314,0.05802505618190772,3.1191874398486403,0.772119341563786,20240829104555.txt
blurry.incomplete,0.9992283950617284,0.7224794238683128,0.024691358024691357,0.043237425080623185,0.0,0.7402263374485597,20240829104555.txt
