                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                 0.4214,                0.28911,                 1.4963,                0.68774,                0.74778,                0.73371,                0.61022,                0.66815,                0.91285,                 1.8398,             0.00098155,             0.00098155,             0.00098155
                    155,                0.43122,                0.29802,                   1.47,                0.68636,                0.79113,                0.75704,                0.63466,                0.65084,                0.90083,                 1.7512,             0.00098071,             0.00098071,             0.00098071
                    156,                0.41575,                0.28929,                 1.4841,                0.69774,                0.76973,                 0.7399,                0.62094,                0.66088,                0.89886,                  1.792,             0.00097986,             0.00097986,             0.00097986
                    157,                0.43552,                0.30413,                 1.4941,                 0.7166,                 0.7524,                0.73914,                 0.6198,                 0.6719,                0.89249,                  1.765,             0.00097901,             0.00097901,             0.00097901
                    158,                0.42892,                0.29504,                 1.4718,                0.72077,                0.73718,                0.74299,                0.62187,                0.65865,                0.91379,                 1.7991,             0.00097817,             0.00097817,             0.00097817
                    159,                 0.4139,                0.28639,                 1.4827,                0.66816,                0.79418,                0.73058,                 0.6151,                 0.6408,                0.88179,                 1.7672,             0.00097732,             0.00097732,             0.00097732
                    160,                0.41379,                0.28938,                 1.4792,                0.68015,                0.78893,                0.74901,                0.63241,                0.65205,                0.87772,                 1.7509,             0.00097647,             0.00097647,             0.00097647
                    161,                0.41732,                0.29126,                 1.4857,                0.69601,                0.77618,                0.73793,                0.62153,                0.65761,                0.89151,                 1.7992,             0.00097563,             0.00097563,             0.00097563
                    162,                0.41966,                0.29286,                 1.4808,                0.69048,                0.78295,                0.74173,                 0.6204,                0.65999,                0.86116,                 1.7966,             0.00097478,             0.00097478,             0.00097478
                    163,                 0.4283,                0.29472,                 1.4788,                0.64775,                0.78834,                0.71687,                0.59688,                0.66714,                 1.0238,                 1.7872,             0.00097394,             0.00097394,             0.00097394
