                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51977,                0.48186,                 1.4298,                0.74411,                0.61959,                0.61348,                0.52861,                 0.5416,                 0.7827,                 1.7063,              0.0010822,              0.0010822,              0.0010822
                     36,                0.51514,                0.40496,                 1.4298,                0.79906,                0.59367,                0.63393,                0.54049,                0.54295,                0.73074,                 1.6897,              0.0010814,              0.0010814,              0.0010814
                     37,                0.49041,                0.37435,                 1.5092,                0.79906,                0.59367,                0.63393,                0.54049,                0.54295,                0.73074,                 1.6897,              0.0010805,              0.0010805,              0.0010805
                     38,                0.48635,                0.37859,                 1.4416,                0.78797,                0.57408,                0.62769,                0.53117,                0.53946,                0.82822,                 1.6764,              0.0010797,              0.0010797,              0.0010797
                     39,                0.48403,                0.41421,                 1.4865,                0.77755,                0.60297,                0.62558,                 0.5255,                0.57576,                0.76987,                 1.6549,              0.0010788,              0.0010788,              0.0010788
                     40,                0.50269,                 0.3773,                 1.4461,                0.77755,                0.60297,                0.62558,                 0.5255,                0.57576,                0.76987,                 1.6549,               0.001078,               0.001078,               0.001078
                     41,                0.49012,                0.35905,                  1.439,                0.79044,                 0.5886,                0.62109,                0.52122,                 0.5857,                0.73299,                 1.6789,              0.0010772,              0.0010772,              0.0010772
                     42,                0.47726,                0.39772,                 1.4537,                0.79044,                 0.5886,                0.62109,                0.52122,                 0.5857,                0.73299,                 1.6789,              0.0010763,              0.0010763,              0.0010763
                     43,                0.46888,                0.36633,                 1.4826,                0.78533,                0.59799,                0.62241,                0.52614,                0.55288,                0.70834,                 1.6753,              0.0010755,              0.0010755,              0.0010755
                     44,                0.47269,                0.35463,                 1.4285,                0.79694,                 0.5881,                0.62586,                0.52895,                0.54137,                0.69116,                 1.7014,              0.0010746,              0.0010746,              0.0010746
                     45,                0.49054,                0.36894,                 1.4258,                0.79694,                 0.5881,                0.62586,                0.52895,                0.54137,                0.69116,                 1.7014,              0.0010738,              0.0010738,              0.0010738
                     46,                0.50169,                0.39623,                 1.4054,                0.79947,                0.59856,                0.63109,                0.53357,                0.54259,                0.68474,                 1.7168,              0.0010729,              0.0010729,              0.0010729
                     47,                  0.461,                0.37103,                 1.5017,                0.80542,                0.58326,                 0.6284,                  0.529,                0.55982,                0.70392,                 1.6875,              0.0010721,              0.0010721,              0.0010721
                     48,                0.50424,                0.39031,                 1.4394,                0.80542,                0.58326,                 0.6284,                  0.529,                0.55982,                0.70392,                 1.6875,              0.0010712,              0.0010712,              0.0010712
                     49,                0.47972,                0.35174,                 1.4276,                0.78753,                0.59458,                0.62424,                0.52996,                0.54057,                 0.7072,                 1.6849,              0.0010704,              0.0010704,              0.0010704
